yr,periodDesc,rgDesc,rtTitle,ptTitle,cmdCode,cmdDescE,TradeValue,rtLat,rtLon,ptLat,ptLon
2016,2016,Export,Saudi Arabia,World,68,"Stone, plaster, cement, asbestos, mica or similar materials; articles thereof",213786768,,,-36.8535712,174.7456809
2018,2018,Export,Saudi Arabia,Cambodia,68,"Stone, plaster, cement, asbestos, mica or similar materials; articles thereof",177278,,,12.5433216,104.8144914
2018,2018,Export,Saudi Arabia,Canada,68,"Stone, plaster, cement, asbestos, mica or similar materials; articles thereof",24543,,,61.0666922,-107.991707
2018,2018,Export,Saudi Arabia,Sri Lanka,68,"Stone, plaster, cement, asbestos, mica or similar materials; articles thereof",348609,,,7.5554942,80.7137847
2018,2018,Export,Saudi Arabia,China,68,"Stone, plaster, cement, asbestos, mica or similar materials; articles thereof",25305533,,,35.000074,104.999927
2018,2018,Export,Saudi Arabia,Colombia,68,"Stone, plaster, cement, asbestos, mica or similar materials; articles thereof",63304,,,4.099917,-72.9088133
2018,2018,Export,Saudi Arabia,Comoros,68,"Stone, plaster, cement, asbestos, mica or similar materials; articles thereof",5866,,,-12.2045176,44.2832964
2018,2018,Export,Saudi Arabia,Congo,68,"Stone, plaster, cement, asbestos, mica or similar materials; articles thereof",5334,,,-2.9814344,23.8222636
2018,2018,Export,Saudi Arabia,Dem. Rep. of the Congo,68,"Stone, plaster, cement, asbestos, mica or similar materials; articles thereof",6188,,,,
2018,2018,Export,Saudi Arabia,Cyprus,68,"Stone, plaster, cement, asbestos, mica or similar materials; articles thereof",109298,,,34.9823018,33.1451285
2018,2018,Export,Saudi Arabia,Ethiopia,68,"Stone, plaster, cement, asbestos, mica or similar materials; articles thereof",335845,,,10.2116702,38.6521203
2018,2018,Export,Saudi Arabia,France,68,"Stone, plaster, cement, asbestos, mica or similar materials; articles thereof",66007,,,46.603354,1.8883335
2018,2018,Export,Saudi Arabia,Djibouti,68,"Stone, plaster, cement, asbestos, mica or similar materials; articles thereof",177290,,,11.8145966,42.8453061
2018,2018,Export,Saudi Arabia,State of Palestine,68,"Stone, plaster, cement, asbestos, mica or similar materials; articles thereof",20889,,,31.46242095,34.262716572130714
2018,2018,Export,Saudi Arabia,Germany,68,"Stone, plaster, cement, asbestos, mica or similar materials; articles thereof",5604,,,51.1638175,10.4478313
2018,2018,Export,Saudi Arabia,Ghana,68,"Stone, plaster, cement, asbestos, mica or similar materials; articles thereof",364161,,,8.0300284,-1.0800271
2018,2018,Export,Saudi Arabia,Greece,68,"Stone, plaster, cement, asbestos, mica or similar materials; articles thereof",29390,,,38.9953683,21.9877132
2018,2018,Export,Saudi Arabia,"China, Hong Kong SAR",68,"Stone, plaster, cement, asbestos, mica or similar materials; articles thereof",539263,,,22.350627,114.1849161
2018,2018,Export,Saudi Arabia,Indonesia,68,"Stone, plaster, cement, asbestos, mica or similar materials; articles thereof",35713,,,-2.4833826,117.8902853
2018,2018,Export,Saudi Arabia,Iraq,68,"Stone, plaster, cement, asbestos, mica or similar materials; articles thereof",1713981,,,33.0955793,44.1749775
2018,2018,Export,Saudi Arabia,Italy,68,"Stone, plaster, cement, asbestos, mica or similar materials; articles thereof",180696,,,42.6384261,12.674297
2018,2018,Export,Saudi Arabia,Côte d'Ivoire,68,"Stone, plaster, cement, asbestos, mica or similar materials; articles thereof",24301,,,7.9897371,-5.5679458
2018,2018,Export,Saudi Arabia,Jordan,68,"Stone, plaster, cement, asbestos, mica or similar materials; articles thereof",22115543,,,31.1667049,36.941628
2018,2018,Export,Saudi Arabia,Kenya,68,"Stone, plaster, cement, asbestos, mica or similar materials; articles thereof",100184,,,1.4419683,38.4313975
2018,2018,Export,Saudi Arabia,Rep. of Korea,68,"Stone, plaster, cement, asbestos, mica or similar materials; articles thereof",17010,,,,
2018,2018,Export,Saudi Arabia,Kuwait,68,"Stone, plaster, cement, asbestos, mica or similar materials; articles thereof",47799311,,,29.2733964,47.4979476
2018,2018,Export,Saudi Arabia,Lebanon,68,"Stone, plaster, cement, asbestos, mica or similar materials; articles thereof",2430027,,,33.8750629,35.843409
2018,2018,Export,Saudi Arabia,Liberia,68,"Stone, plaster, cement, asbestos, mica or similar materials; articles thereof",17217,,,5.7499721,-9.3658524
2018,2018,Export,Saudi Arabia,Libya,68,"Stone, plaster, cement, asbestos, mica or similar materials; articles thereof",39090,,,26.8234472,18.1236723
2018,2018,Export,Saudi Arabia,Luxembourg,68,"Stone, plaster, cement, asbestos, mica or similar materials; articles thereof",140749,,,,
2018,2018,Export,Saudi Arabia,Maldives,68,"Stone, plaster, cement, asbestos, mica or similar materials; articles thereof",5880,,,3.7203503,73.2244152
2018,2018,Export,Saudi Arabia,Mauritania,68,"Stone, plaster, cement, asbestos, mica or similar materials; articles thereof",49994,,,20.2540382,-9.2399263
2018,2018,Export,Saudi Arabia,"Other Asia, nes",68,"Stone, plaster, cement, asbestos, mica or similar materials; articles thereof",609076,,,,
2018,2018,Export,Saudi Arabia,Morocco,68,"Stone, plaster, cement, asbestos, mica or similar materials; articles thereof",64705,,,31.1728205,-7.3362482
2018,2018,Export,Saudi Arabia,Oman,68,"Stone, plaster, cement, asbestos, mica or similar materials; articles thereof",25130529,,,21.0000287,57.0036901
2018,2018,Export,Saudi Arabia,Nepal,68,"Stone, plaster, cement, asbestos, mica or similar materials; articles thereof",57749,,,28.1083929,84.0917139
2018,2018,Export,Saudi Arabia,Netherlands,68,"Stone, plaster, cement, asbestos, mica or similar materials; articles thereof",7581,,,52.2434979,5.6343227
2018,2018,Export,Saudi Arabia,Nigeria,68,"Stone, plaster, cement, asbestos, mica or similar materials; articles thereof",107519,,,9.6000359,7.9999721
2018,2018,Export,Saudi Arabia,Pakistan,68,"Stone, plaster, cement, asbestos, mica or similar materials; articles thereof",139432,,,30.3308401,71.247499
2018,2018,Export,Saudi Arabia,Philippines,68,"Stone, plaster, cement, asbestos, mica or similar materials; articles thereof",203626,,,12.7503486,122.7312101
2018,2018,Export,Saudi Arabia,Poland,68,"Stone, plaster, cement, asbestos, mica or similar materials; articles thereof",120445,,,52.215933,19.134422
2018,2018,Export,Saudi Arabia,Russian Federation,68,"Stone, plaster, cement, asbestos, mica or similar materials; articles thereof",12020,,,64.6863136,97.7453061
2018,2018,Export,Saudi Arabia,Saint Lucia,68,"Stone, plaster, cement, asbestos, mica or similar materials; articles thereof",29413,,,,
2018,2018,Export,Saudi Arabia,Sao Tome and Principe,68,"Stone, plaster, cement, asbestos, mica or similar materials; articles thereof",5969,,,,
2018,2018,Export,Saudi Arabia,Senegal,68,"Stone, plaster, cement, asbestos, mica or similar materials; articles thereof",14291,,,14.4750607,-14.4529612
2018,2018,Export,Saudi Arabia,Seychelles,68,"Stone, plaster, cement, asbestos, mica or similar materials; articles thereof",38004,,,-4.6574977,55.4540146
2018,2018,Export,Saudi Arabia,India,68,"Stone, plaster, cement, asbestos, mica or similar materials; articles thereof",9215526,,,22.3511148,78.6677428
2018,2018,Export,Saudi Arabia,Singapore,68,"Stone, plaster, cement, asbestos, mica or similar materials; articles thereof",232065,,,1.357107,103.8194992
2018,2018,Export,Saudi Arabia,Viet Nam,68,"Stone, plaster, cement, asbestos, mica or similar materials; articles thereof",114708,,,15.9266657,107.9650855
2018,2018,Export,Saudi Arabia,Somalia,68,"Stone, plaster, cement, asbestos, mica or similar materials; articles thereof",79122,,,8.3676771,49.083416
2018,2018,Export,Saudi Arabia,South Africa,68,"Stone, plaster, cement, asbestos, mica or similar materials; articles thereof",2301194,,,-28.8166236,24.991639
2018,2018,Export,Saudi Arabia,Sudan,68,"Stone, plaster, cement, asbestos, mica or similar materials; articles thereof",1206897,,,14.5844444,29.4917691
2018,2018,Export,Saudi Arabia,Thailand,68,"Stone, plaster, cement, asbestos, mica or similar materials; articles thereof",69653,,,14.8971921,100.83273
2018,2018,Export,Saudi Arabia,Togo,68,"Stone, plaster, cement, asbestos, mica or similar materials; articles thereof",5973,,,8.7800265,1.0199765
2018,2018,Export,Saudi Arabia,United Arab Emirates,68,"Stone, plaster, cement, asbestos, mica or similar materials; articles thereof",70171040,,,24.0002488,53.9994829
2018,2018,Export,Saudi Arabia,Tunisia,68,"Stone, plaster, cement, asbestos, mica or similar materials; articles thereof",155380,,,33.8439408,9.400138
2018,2018,Export,Saudi Arabia,Turkey,68,"Stone, plaster, cement, asbestos, mica or similar materials; articles thereof",119219,,,38.9597594,34.9249653
2018,2018,Export,Saudi Arabia,Uganda,68,"Stone, plaster, cement, asbestos, mica or similar materials; articles thereof",31599,,,1.5333554,32.2166578
2018,2018,Export,Saudi Arabia,Egypt,68,"Stone, plaster, cement, asbestos, mica or similar materials; articles thereof",1210222,,,26.2540493,29.2675469
2018,2018,Export,Saudi Arabia,United Kingdom,68,"Stone, plaster, cement, asbestos, mica or similar materials; articles thereof",137424,,,54.7023545,-3.2765753
2018,2018,Export,Saudi Arabia,United Rep. of Tanzania,68,"Stone, plaster, cement, asbestos, mica or similar materials; articles thereof",13758,,,,
2018,2018,Export,Saudi Arabia,USA,68,"Stone, plaster, cement, asbestos, mica or similar materials; articles thereof",694634,,,,
2018,2018,Export,Saudi Arabia,Yemen,68,"Stone, plaster, cement, asbestos, mica or similar materials; articles thereof",3182645,,,16.3471243,47.8915271
2019,2019,Export,Saudi Arabia,World,68,"Stone, plaster, cement, asbestos, mica or similar materials; articles thereof",203916952,,,-36.8535712,174.7456809
2019,2019,Export,Saudi Arabia,Algeria,68,"Stone, plaster, cement, asbestos, mica or similar materials; articles thereof",117993,,,28.0000272,2.9999825
2019,2019,Export,Saudi Arabia,Australia,68,"Stone, plaster, cement, asbestos, mica or similar materials; articles thereof",170596,,,-24.7761086,134.755
2019,2019,Export,Saudi Arabia,Bahrain,68,"Stone, plaster, cement, asbestos, mica or similar materials; articles thereof",19178999,,,26.1551249,50.5344606
2019,2019,Export,Saudi Arabia,Bangladesh,68,"Stone, plaster, cement, asbestos, mica or similar materials; articles thereof",111773,,,24.4769288,90.2934413
2019,2019,Export,Saudi Arabia,Brazil,68,"Stone, plaster, cement, asbestos, mica or similar materials; articles thereof",11506,,,-10.3333333,-53.2
2019,2019,Export,Saudi Arabia,Bulgaria,68,"Stone, plaster, cement, asbestos, mica or similar materials; articles thereof",31513,,,42.6073975,25.4856617
2019,2019,Export,Saudi Arabia,Cambodia,68,"Stone, plaster, cement, asbestos, mica or similar materials; articles thereof",245604,,,12.5433216,104.8144914
2019,2019,Export,Saudi Arabia,Sri Lanka,68,"Stone, plaster, cement, asbestos, mica or similar materials; articles thereof",468933,,,7.5554942,80.7137847
2019,2019,Export,Saudi Arabia,China,68,"Stone, plaster, cement, asbestos, mica or similar materials; articles thereof",10656524,,,35.000074,104.999927
2019,2019,Export,Saudi Arabia,Congo,68,"Stone, plaster, cement, asbestos, mica or similar materials; articles thereof",12243,,,-2.9814344,23.8222636
2019,2019,Export,Saudi Arabia,Costa Rica,68,"Stone, plaster, cement, asbestos, mica or similar materials; articles thereof",76493,,,10.2735633,-84.0739102
2019,2019,Export,Saudi Arabia,Cyprus,68,"Stone, plaster, cement, asbestos, mica or similar materials; articles thereof",183066,,,34.9823018,33.1451285
2019,2019,Export,Saudi Arabia,Ethiopia,68,"Stone, plaster, cement, asbestos, mica or similar materials; articles thereof",262178,,,10.2116702,38.6521203
2019,2019,Export,Saudi Arabia,France,68,"Stone, plaster, cement, asbestos, mica or similar materials; articles thereof",20594,,,46.603354,1.8883335
2019,2019,Export,Saudi Arabia,Djibouti,68,"Stone, plaster, cement, asbestos, mica or similar materials; articles thereof",125331,,,11.8145966,42.8453061
2019,2019,Export,Saudi Arabia,State of Palestine,68,"Stone, plaster, cement, asbestos, mica or similar materials; articles thereof",9276,,,31.46242095,34.262716572130714
2019,2019,Export,Saudi Arabia,Ghana,68,"Stone, plaster, cement, asbestos, mica or similar materials; articles thereof",95301,,,8.0300284,-1.0800271
2019,2019,Export,Saudi Arabia,Greece,68,"Stone, plaster, cement, asbestos, mica or similar materials; articles thereof",73306,,,38.9953683,21.9877132
2019,2019,Export,Saudi Arabia,"China, Hong Kong SAR",68,"Stone, plaster, cement, asbestos, mica or similar materials; articles thereof",495177,,,22.350627,114.1849161
2019,2019,Export,Saudi Arabia,Indonesia,68,"Stone, plaster, cement, asbestos, mica or similar materials; articles thereof",11023,,,-2.4833826,117.8902853
2019,2019,Export,Saudi Arabia,Iraq,68,"Stone, plaster, cement, asbestos, mica or similar materials; articles thereof",1584821,,,33.0955793,44.1749775
2019,2019,Export,Saudi Arabia,Italy,68,"Stone, plaster, cement, asbestos, mica or similar materials; articles thereof",323788,,,42.6384261,12.674297
2019,2019,Export,Saudi Arabia,Côte d'Ivoire,68,"Stone, plaster, cement, asbestos, mica or similar materials; articles thereof",12816,,,7.9897371,-5.5679458
2019,2019,Export,Saudi Arabia,Jordan,68,"Stone, plaster, cement, asbestos, mica or similar materials; articles thereof",23017135,,,31.1667049,36.941628
2019,2019,Export,Saudi Arabia,Kenya,68,"Stone, plaster, cement, asbestos, mica or similar materials; articles thereof",137855,,,1.4419683,38.4313975
2019,2019,Export,Saudi Arabia,Rep. of Korea,68,"Stone, plaster, cement, asbestos, mica or similar materials; articles thereof",6079,,,,
2019,2019,Export,Saudi Arabia,Kuwait,68,"Stone, plaster, cement, asbestos, mica or similar materials; articles thereof",30544402,,,29.2733964,47.4979476
2019,2019,Export,Saudi Arabia,Lebanon,68,"Stone, plaster, cement, asbestos, mica or similar materials; articles thereof",1793180,,,33.8750629,35.843409
2019,2019,Export,Saudi Arabia,Liberia,68,"Stone, plaster, cement, asbestos, mica or similar materials; articles thereof",11704,,,5.7499721,-9.3658524
2019,2019,Export,Saudi Arabia,Libya,68,"Stone, plaster, cement, asbestos, mica or similar materials; articles thereof",277494,,,26.8234472,18.1236723
2019,2019,Export,Saudi Arabia,Malaysia,68,"Stone, plaster, cement, asbestos, mica or similar materials; articles thereof",12404,,,4.5693754,102.2656823
2019,2019,Export,Saudi Arabia,Mauritius,68,"Stone, plaster, cement, asbestos, mica or similar materials; articles thereof",4105,,,-20.2759451,57.5703566
2019,2019,Export,Saudi Arabia,"Other Asia, nes",68,"Stone, plaster, cement, asbestos, mica or similar materials; articles thereof",170556,,,,
2019,2019,Export,Saudi Arabia,Morocco,68,"Stone, plaster, cement, asbestos, mica or similar materials; articles thereof",24046,,,31.1728205,-7.3362482
2019,2019,Export,Saudi Arabia,Oman,68,"Stone, plaster, cement, asbestos, mica or similar materials; articles thereof",22219961,,,21.0000287,57.0036901
2019,2019,Export,Saudi Arabia,Nigeria,68,"Stone, plaster, cement, asbestos, mica or similar materials; articles thereof",43582,,,9.6000359,7.9999721
2019,2019,Export,Saudi Arabia,Pakistan,68,"Stone, plaster, cement, asbestos, mica or similar materials; articles thereof",169760,,,30.3308401,71.247499
2019,2019,Export,Saudi Arabia,Philippines,68,"Stone, plaster, cement, asbestos, mica or similar materials; articles thereof",258717,,,12.7503486,122.7312101
2019,2019,Export,Saudi Arabia,Poland,68,"Stone, plaster, cement, asbestos, mica or similar materials; articles thereof",97942,,,52.215933,19.134422
2019,2019,Export,Saudi Arabia,Portugal,68,"Stone, plaster, cement, asbestos, mica or similar materials; articles thereof",50551,,,39.6621648,-8.1353519
2019,2019,Export,Saudi Arabia,Russian Federation,68,"Stone, plaster, cement, asbestos, mica or similar materials; articles thereof",20140,,,64.6863136,97.7453061
2019,2019,Export,Saudi Arabia,India,68,"Stone, plaster, cement, asbestos, mica or similar materials; articles thereof",9675330,,,22.3511148,78.6677428
2019,2019,Export,Saudi Arabia,Singapore,68,"Stone, plaster, cement, asbestos, mica or similar materials; articles thereof",80115,,,1.357107,103.8194992
2019,2019,Export,Saudi Arabia,Viet Nam,68,"Stone, plaster, cement, asbestos, mica or similar materials; articles thereof",483731,,,15.9266657,107.9650855
2019,2019,Export,Saudi Arabia,Somalia,68,"Stone, plaster, cement, asbestos, mica or similar materials; articles thereof",63540,,,8.3676771,49.083416
2019,2019,Export,Saudi Arabia,South Africa,68,"Stone, plaster, cement, asbestos, mica or similar materials; articles thereof",923868,,,-28.8166236,24.991639
2019,2019,Export,Saudi Arabia,Spain,68,"Stone, plaster, cement, asbestos, mica or similar materials; articles thereof",26638,,,39.3260685,-4.8379791
2019,2019,Export,Saudi Arabia,Sudan,68,"Stone, plaster, cement, asbestos, mica or similar materials; articles thereof",863454,,,14.5844444,29.4917691
2019,2019,Export,Saudi Arabia,Thailand,68,"Stone, plaster, cement, asbestos, mica or similar materials; articles thereof",36764,,,14.8971921,100.83273
2019,2019,Export,Saudi Arabia,Togo,68,"Stone, plaster, cement, asbestos, mica or similar materials; articles thereof",6192,,,8.7800265,1.0199765
2019,2019,Export,Saudi Arabia,United Arab Emirates,68,"Stone, plaster, cement, asbestos, mica or similar materials; articles thereof",73714714,,,24.0002488,53.9994829
2019,2019,Export,Saudi Arabia,Turkey,68,"Stone, plaster, cement, asbestos, mica or similar materials; articles thereof",278771,,,38.9597594,34.9249653
2019,2019,Export,Saudi Arabia,Uganda,68,"Stone, plaster, cement, asbestos, mica or similar materials; articles thereof",56712,,,1.5333554,32.2166578
2019,2019,Export,Saudi Arabia,Egypt,68,"Stone, plaster, cement, asbestos, mica or similar materials; articles thereof",1111368,,,26.2540493,29.2675469
2019,2019,Export,Saudi Arabia,United Kingdom,68,"Stone, plaster, cement, asbestos, mica or similar materials; articles thereof",161519,,,54.7023545,-3.2765753
2019,2019,Export,Saudi Arabia,United Rep. of Tanzania,68,"Stone, plaster, cement, asbestos, mica or similar materials; articles thereof",12160,,,,
2019,2019,Export,Saudi Arabia,USA,68,"Stone, plaster, cement, asbestos, mica or similar materials; articles thereof",820589,,,,
2019,2019,Export,Saudi Arabia,Uzbekistan,68,"Stone, plaster, cement, asbestos, mica or similar materials; articles thereof",4654,,,41.32373,63.9528098
2019,2019,Export,Saudi Arabia,Yemen,68,"Stone, plaster, cement, asbestos, mica or similar materials; articles thereof",2458340,,,16.3471243,47.8915271
2020,2020,Export,Saudi Arabia,World,68,"Stone, plaster, cement, asbestos, mica or similar materials; articles thereof",193321246,,,-36.8535712,174.7456809
2020,2020,Export,Saudi Arabia,Algeria,68,"Stone, plaster, cement, asbestos, mica or similar materials; articles thereof",1794858,,,28.0000272,2.9999825
2020,2020,Export,Saudi Arabia,Angola,68,"Stone, plaster, cement, asbestos, mica or similar materials; articles thereof",3488,,,-11.8775768,17.5691241
2020,2020,Export,Saudi Arabia,Australia,68,"Stone, plaster, cement, asbestos, mica or similar materials; articles thereof",39110,,,-24.7761086,134.755
2020,2020,Export,Saudi Arabia,Austria,68,"Stone, plaster, cement, asbestos, mica or similar materials; articles thereof",4635,,,47.59397,14.12456
2020,2020,Export,Saudi Arabia,Bahrain,68,"Stone, plaster, cement, asbestos, mica or similar materials; articles thereof",16985333,,,26.1551249,50.5344606
2020,2020,Export,Saudi Arabia,Bangladesh,68,"Stone, plaster, cement, asbestos, mica or similar materials; articles thereof",168253,,,24.4769288,90.2934413
2020,2020,Export,Saudi Arabia,Brunei Darussalam,68,"Stone, plaster, cement, asbestos, mica or similar materials; articles thereof",22434,,,,
